"","sampleid","masterid","sampledate","year","fieldreplicate","csci","latitude","longitude","county","COMID","geometry","Max_Wkly_Mean_StreamT","Max_Wkl_Max_StreamT","Min_Wkl_Min_StreamT","Max_Wkl_Rng_StreamT","Mean_Wkl_Rng_StreamT","Max_Wkl_Max_StreamT_grt_30_"
"75","SMC00520_07082010_BMI_RWB_1","SMC00520","2010-07-08 00:00:00",2010,1,0.71329337,34.29626,-118.28252,"Los Angeles",22514474,c(-118.28252, 34.29626),23.0221925655841,29.3980683827559,11.823960094011,15.5646290453875,11.3224044096813,0
"76","SMC00520_08052011_BMI_RWB_1","SMC00520","2011-08-05 00:00:00",2011,1,0.76442287,34.29626,-118.28252,"Los Angeles",22514474,c(-118.28252, 34.29626),22.9377904185856,28.3414460498144,10.5954746000672,14.4326918028934,11.4204584409608,0
"77","SMC00544_06222011_BMI_RWB_1","SMC00544","2011-06-22 00:00:00",2011,1,1.08630851,34.14677,-117.74153,"Los Angeles",22523163,c(-117.74153, 34.14677),22.6814768574363,32.4878521011604,11.1236613871757,18.3399641240091,14.9873764011966,75
"78","SMC00574_06162008_BMI_RWB_MCM_1","SMC00574","2008-06-16 00:00:00",2008,1,0.19831576,33.87972,-118.10851,"Los Angeles",22525157,c(-118.10851, 33.87972),22.4552290565695,31.3516886246734,14.1627747482765,17.1847552970164,11.8090875594763,15
"79","SMC00608_06272011_BMI_RWB_1","SMC00608","2011-06-27 00:00:00",2011,1,0.7085293,34.12344,-117.90223,"Los Angeles",22524713,c(-117.90223, 34.12344),23.2102412081248,34.6898500106657,12.7693212405948,20.05483077667,16.3332093524892,141
"80","SMC00632_06132011_BMI_RWB_1","SMC00632","2011-06-13 00:00:00",2011,1,0.49365138,34.14874,-118.55604,"Los Angeles",22514892,c(-118.55604, 34.14874),22.7360430738671,34.0825283816592,12.5443097357791,19.5513914773907,16.1464122803732,120
"81","SMC00670_05212009_BMI_RWB_1","SMC00670","2009-05-21 00:00:00",2009,1,0.67440039,33.86925,-117.90916,"Orange",22525749,c(-117.90916, 33.86925),22.455238602836,36.6517004262837,13.911529268451,20.7653961521862,16.8776933309476,138
"82","SMC00684_06272011_BMI_RWB_1","SMC00684","2011-06-27 00:00:00",2011,1,0.43344621,34.09698,-118.02373,"Los Angeles",22515002,c(-118.02373, 34.09698),22.3968556509417,32.7241088853724,13.1329011328178,18.5554128757955,14.6823091118459,93
"83","SMC00686_06272011_BMI_RWB_1","SMC00686","2011-06-27 00:00:00",2011,1,0.45897422,34.0322,-117.83819,"Los Angeles",22523225,c(-117.83819, 34.0322),21.1291986297658,33.6565658884231,12.3023181758447,20.1532750346974,16.4714182158302,128
"84","SMC00702_07192011_BMI_RWB_1","SMC00702","2011-07-19 00:00:00",2011,1,0.4879651,33.87795,-118.00297,"Orange",22524965,c(-118.00297, 33.87795),20.5823903019228,33.7800586262621,13.5714269647397,20.0294453824929,16.1022349464589,124
